,City,Date,Country,Max Temperature (F),Wind Speed (mph),Latitude,Longitude,Humidity (%),Cloudiness (%)
0,certeze,1612650171,RO,39.469999999999956,1.06,47.9,23.4667,100.0,90.0
1,kingsport,1612650172,US,44.86999999999996,2.06,36.5484,-82.5618,45.0,90.0
2,saint-pierre,1612650172,RE,79.06999999999996,2.06,-21.3393,55.4781,83.0,40.0
3,ushuaia,1612650052,AR,53.86999999999996,8.75,-54.8,-68.3,71.0,40.0
4,cape town,1612649901,ZA,72.26600000000002,4.12,-33.9258,18.4232,83.0,20.0
5,cherskiy,1612650172,RU,-8.032000000000018,2.41,68.75,161.3,80.0,0.0
6,prince rupert,1612650172,CA,39.469999999999956,2.5,54.3161,-130.3201,93.0,90.0
7,jamestown,1612650020,US,21.469999999999956,4.63,42.097,-79.2353,45.0,1.0
8,hermanus,1612650173,ZA,67.26199999999996,1.63,-34.4187,19.2345,90.0,84.0
9,yellowknife,1612649882,CA,-32.52999999999999,1.03,62.456,-114.3525,61.0,1.0
10,naze,1612650173,JP,62.86999999999996,1.54,28.3667,129.4833,77.0,75.0
11,east london,1612650173,ZA,74.984,1.1,-33.0153,27.9116,87.0,8.0
12,rikitea,1612650173,PF,78.458,4.45,-23.1203,-134.9692,70.0,100.0
13,kapaa,1612650173,US,73.66999999999996,3.09,22.0752,-159.319,49.0,20.0
14,nikolskoye,,,0.0,0.0,0.0,0.0,0.0,0.0
15,kloulklubed,1612650173,PW,79.06999999999996,4.63,7.0419,134.2556,94.0,90.0
16,arraial do cabo,1612650066,BR,71.86999999999996,1.54,-22.9661,-42.0278,94.0,75.0
17,kodiak,1612650174,US,37.66999999999996,1.54,57.79,-152.4072,60.0,20.0
18,busselton,1612650174,AU,58.26199999999996,1.34,-33.65,115.3333,97.0,100.0
19,albany,1612650174,US,35.86999999999996,6.17,42.6001,-73.9662,40.0,20.0
20,tijeras,1612650174,PA,89.86999999999996,4.12,8.4667,-82.55,62.0,20.0
21,alofi,1612650174,NU,84.46999999999997,5.14,-19.0595,-169.9187,79.0,100.0
22,iwanai,1612650174,JP,26.906000000000027,3.1,42.9744,140.5089,90.0,100.0
23,port alfred,1612650174,ZA,68.26999999999995,2.24,-33.5906,26.891,91.0,58.0
24,sentyabrskiy,,,0.0,0.0,0.0,0.0,0.0,0.0
25,faanui,1612650175,PF,82.30999999999997,4.79,-16.4833,-151.75,67.0,2.0
26,punta arenas,1612649966,CL,57.469999999999956,10.8,-53.15,-70.9167,51.0,75.0
27,pallasovka,1612650175,RU,18.57200000000004,6.04,50.05,46.8833,88.0,90.0
28,firminopolis,1612650175,BR,73.45399999999995,0.56,-16.5819,-50.305,92.0,100.0
